season,player_id,player,country_esake,games,minutes_per_game,estimated_total_minutes,is_greek,classification_method,exclude_data_contamination,source_url,team_id,esake_roster_team_id,team,standing,team_games,lower_half
2009-10,00000003,ΑΒΡΑΜΟΦ Μπόζινταρ,,12,13.43,161.16,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000013,00000019,Γ.Σ.ΟΛΥΜΠΙΑ ΛΑΡΙΣΑΣ,14,26,True
2009-10,00000004,ΑΓΑΔΑΚΟΣ Λάζαρος,ΕΛΛΑΔΑ,10,14.79,147.9,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000D,00000013,ΠΕΡΙΣΤΕΡΙ Betsson,9,26,True
2009-10,00000006,ΑΓΓΕΛΑΚΟΠΟΥΛΟΣ Βασίλης,ΕΛΛΑΔΑ,14,19.46,272.44,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000013,00000019,Γ.Σ.ΟΛΥΜΠΙΑ ΛΑΡΙΣΑΣ,14,26,True
2009-10,00000007,ΑΓΓΕΛΑΚΟΣ Αλέξανδρος,ΕΛΛΑΔΑ,1,0.9,0.9,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000A,00000010,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,6,26,False
2009-10,0000000B,ΑΓΓΕΛΟΠΟΥΛΟΣ Νίκος,ΕΛΛΑΔΑ,26,18.41,478.66,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000008,00000008,ΚΑΒΑΛΑ,11,26,True
2009-10,00000012,ΑΘΑΝΑΣΟΥΛΑΣ Γιάννης,ΕΛΛΑΔΑ,26,18.71,486.46,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000006,00000006,ΗΛΥΣΙΑΚΟΣ,12,26,True
2009-10,00000013,ΑΘΗΝΑΙΟΥ Γιάννης,ΕΛΛΑΔΑ,21,8.58,180.18,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000003,00000003,ΠΑΝΙΩΝΙΟΣ COSMORAMA TRAVEL,8,26,True
2009-10,0000001D,ΑΛΕΞΑΝΤΕΡ Ντεμέτριους,,8,22.45,179.6,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000008,00000008,ΚΑΒΑΛΑ,11,26,True
2009-10,00000021,ΑΛΙΕΒΑΣ Ρολάντας,,7,8.38,58.66,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000013,00000019,Γ.Σ.ΟΛΥΜΠΙΑ ΛΑΡΙΣΑΣ,14,26,True
2009-10,0CB6EC08,ΑΝΤΕΤΟΚΟΥΝΜΠΟ Κώστας,ΕΛΛΑΔΑ,2,15.73,31.46,True,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000005,00000005,ΑΡΗΣ,7,26,False
2009-10,B111BBC9,ΑΝΤΖΟΥΣΙΤΣ Ντανίλο,ΣΕΡΒΙΑ,2,20.12,40.24,False,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000005,00000005,ΑΡΗΣ,7,26,False
2009-10,0000003B,ΑΝΤΩΝΑΚΗΣ Τάσος,ΕΛΛΑΔΑ,3,4.04,12.12,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000010,00000016,ΑΕΚ,10,26,True
2009-10,AE01432F,ΑΠΛΜΠΙ Ταϊρί,ΗΠΑ,2,28.13,56.26,False,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,,1052694769,,,,False
2009-10,0000003F,ΑΠΟΣΤΟΛΙΔΗΣ Γιώργος,ΕΛΛΑΔΑ,27,25.71,694.17,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000014,00000020,ΤΡΙΚΑΛΑ BC ARIES,13,26,True
2009-10,00000046,ΑΡΓΥΡΟΠΟΥΛΟΣ Νίκος,ΕΛΛΑΔΑ,11,4.88,53.68,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000005,00000005,ΑΡΗΣ,7,26,False
2009-10,00000047,ΑΡΙΓΚΜΠΑΜΠΟΥ Στέφαν,,11,7.59,83.49,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000F,00000015,ΜΑΡΟΥΣΙ,3,26,False
2009-10,0000004B,ΑΡΝΟΛΝΤ Τζίμι,,23,28.24,649.52,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000D,00000013,ΠΕΡΙΣΤΕΡΙ Betsson,9,26,True
2009-10,6BC4B84C,ΑΡΣΕΝΟΠΟΥΛΟΣ Νίκος,ΕΛΛΑΔΑ,0,0.0,0.0,True,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000010,00000016,ΑΕΚ,10,26,True
2009-10,0000004F,ΑΣΗΜΑΚΟΠΟΥΛΟΣ Αντώνης,ΕΛΛΑΔΑ,26,17.34,450.84,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000A,00000010,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,6,26,False
2009-10,00000052,ΑΥΓΕΝΙΚΟΣ Αλέξανδρος,ΕΛΛΑΔΑ,6,0.85,5.1,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000A,00000010,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,6,26,False
2009-10,00000063,ΒΑΣΙΛΙΕΒΙΤΣ Σάσα,,25,28.43,710.75,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000A,00000010,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,6,26,False
2009-10,00000065,ΒΑΣΙΛΟΠΟΥΛΟΣ Παναγιώτης,ΕΛΛΑΔΑ,23,16.48,379.04,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000002,00000002,ΟΛΥΜΠΙΑΚΟΣ,2,26,False
2009-10,0000006B,ΒΕΡΓΙΝΗΣ Δημήτρης,ΕΛΛΑΔΑ,11,6.61,72.71,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000001,00000001,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,1,26,False
2009-10,0000006D,ΒΙΔΑΛΗΣ Χρήστος,ΕΛΛΑΔΑ,9,2.24,20.16,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000006,00000006,ΗΛΥΣΙΑΚΟΣ,12,26,True
2009-10,0000007A,ΒΟΥΓΙΟΥΚΑΣ Ίαν,ΕΛΛΑΔΑ,25,24.27,606.75,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000012,00000018,ΠΑΝΕΛΛΗΝΙΟΣ,4,26,False
2009-10,0000007C,ΒΟΥΙΣΙΤΣ Νίκολα,,22,12.92,284.24,False,Manual review of blank country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000002,00000002,ΟΛΥΜΠΙΑΚΟΣ,2,26,False
2009-10,00000088,ΓΑΛΙΩΤΟΣ Γιώργος,ΕΛΛΑΔΑ,9,4.83,43.47,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000006,00000006,ΗΛΥΣΙΑΚΟΣ,12,26,True
2009-10,0000008C,ΓΕΡΕΜΙΤΣ Μίλαν,ΣΕΡΒΙΑ,4,4.2,16.8,False,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000010,00000016,ΑΕΚ,10,26,True
2009-10,00000738,ΓΕΡΟΜΙΧΑΛΟΣ Πέτρος,ΕΛΛΑΔΑ,2,7.25,14.5,True,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,,1052694769,,,,False
2009-10,00000091,ΓΕΩΡΓΑΛΛΗΣ Γιάννης,ΕΛΛΑΔΑ,10,6.33,63.3,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000012,00000018,ΠΑΝΕΛΛΗΝΙΟΣ,4,26,False
2009-10,0000009B,ΓΙΑΝΚΟΒΙΤΣ Βλαδίμηρος,ΕΛΛΑΔΑ,17,9.81,166.77,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000003,00000003,ΠΑΝΙΩΝΙΟΣ COSMORAMA TRAVEL,8,26,True
2009-10,0000009F,ΓΙΑΝΝΑΚΙΔΗΣ Μιχάλης,ΕΛΛΑΔΑ,13,2.65,34.45,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,0000000C,00000012,ΠΑΟΚ,5,26,False
2009-10,000000A4,ΓΙΑΝΝΟΠΟΥΛΟΣ Χάρης,ΕΛΛΑΔΑ,14,7.69,107.66,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000003,00000003,ΠΑΝΙΩΝΙΟΣ COSMORAMA TRAVEL,8,26,True
2009-10,000000AA,ΓΙΑΣΙΚΕΒΙΤΣΙΟΥΣ Σαρούνας,ΛΙΘΟΥΑΝΙΑ,15,18.03,270.45,False,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000001,00000001,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,1,26,False
2009-10,000000CC,ΓΚΕΛΙΟΣ Σωκράτης,ΕΛΛΑΔΑ,0,0.0,0.0,True,ESAKE country,False,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000008,00000008,ΚΑΒΑΛΑ,11,26,True
2009-10,7D3E4D77,ΓΚΡΑΝΤ Τζέριαν,ΗΠΑ,2,27.3,54.6,False,ESAKE country,True,https://www.esake.gr/el/action/EsakeStats?mode=2&idchampionship=00000004&idseason=00000001,00000001,00000001,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,1,26,False
